"filename", "language", "C#", "Database", "XML", "Draw.io", "comment", "blank", "total"
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\final\FinalProject\Cart.cs", "C#", 78, 0, 0, 0, 3, 38, 119
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\final\FinalProject\Cashier.cs", "C#", 16, 0, 0, 0, 0, 1, 17
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\final\FinalProject\Classes.drawio", "Draw.io", 0, 0, 0, 197, 0, 0, 197
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\final\FinalProject\DatabaseManager.cs", "C#", 149, 0, 0, 0, 10, 78, 237
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\final\FinalProject\Employee.cs", "C#", 147, 0, 0, 0, 5, 71, 223
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\final\FinalProject\FinalProject.csproj", "XML", 0, 0, 11, 0, 5, 8, 24
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\final\FinalProject\Manager.cs", "C#", 224, 0, 0, 0, 8, 76, 308
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\final\FinalProject\Person.cs", "C#", 20, 0, 0, 0, 0, 7, 27
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\final\FinalProject\Product.cs", "C#", 33, 0, 0, 0, 0, 14, 47
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\final\FinalProject\Program.cs", "C#", 56, 0, 0, 0, 33, 32, 121
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\final\FinalProject\Store.cs", "C#", 23, 0, 0, 0, 0, 8, 31
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\final\FinalProject\Ticket.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\final\FinalProject\posdb.db", "Database", 0, 122, 0, 0, 0, 6, 128
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop05\ChecklistGoal.cs", "C#", -61, 0, 0, 0, 0, -12, -73
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop05\Classes.drawio", "Draw.io", 0, 0, 0, -119, 0, 0, -119
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop05\Develop05.csproj", "XML", 0, 0, -8, 0, 0, -4, -12
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop05\EternalGoal.cs", "C#", -28, 0, 0, 0, 0, -9, -37
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop05\Goal.cs", "C#", -55, 0, 0, 0, 0, -20, -75
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop05\Manager.cs", "C#", -262, 0, 0, 0, -16, -56, -334
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop05\Program.cs", "C#", -254, 0, 0, 0, -37, -54, -345
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop05\SimpleGoal.cs", "C#", -19, 0, 0, 0, 0, -6, -25
"Total", "-", 67, 122, 3, 78, 11, 179, 460
